x,y
4.667797637,0
5.509198779,0
4.702791608,0
5.956706641,0
5.738622413,0
5.027283325,0
4.805434058,0
4.425689143,0
5.009368635,0
5.116718815,0
6.370917709,0
2.895041947,0
4.666842365,0
5.602154638,0
4.902797978,0
5.032652964,0
4.083972925,0
4.875524106,0
4.732801047,0
5.385993407,0
20.74393514,1
21.41752855,1
20.57924186,1
20.7386947,1
19.44605384,1
18.36360265,1
19.90363232,1
19.10870851,1
18.18787593,1
19.71767611,1
19.09629027,1
20.52741312,1
20.63205608,1
19.86218119,1
21.34670569,1
20.333906,1
21.02714855,1
18.27536089,1
21.77371156,1
20.65953546,1
